MI School Data,,,,,,,,,,,
"Educator Effectiveness Snapshot
Detroit City School District: 2013-14 / Teachers",,,,,,,,,,,
Location,School Year,Highly Effective,Highly Effective (Percent),Effective,Effective (Percent),Minimally Effective,Minimally Effective (Percent),Ineffective,Ineffective (Percent),Total,
Detroit City School District,2013-14,"2,542",79%,541,17%,73,2.28%,52,2%,"3,208",
Individuals not assigned to a school are included in the district total.,,,,,,,,,,,
,,,,,,,,,,,
location,school_year,highly_effective,highly_effective_percent,effective,effective_percent,minimally_effective,minimally_effective_percent,ineffective,ineffective_percent,effective_or_more_percent,total
Detroit City School District,2013-14,2542,0.79,541,0.17,73,0.02,52,0.02,0.96,3208.00
Statewide,2013-14,36384,0.38,56814,0.59,2168,0.02,519,0.01,0.97,95885.00
Academy of The Americas,2013-14,30,0.83,5,0.14,0,0.00,1,0.03,0.97,36.00
Administrative Unit,2013-14,31,0.65,17,0.35,0,0.00,0,0.00,1.00,48.00
Ann Arbor Trail Magnet School,2013-14,23,0.92,2,0.08,0,0.00,0,0.00,1.00,25.00
Bagley Elementary School,2013-14,15,0.71,4,0.19,2,0.10,0,0.00,0.90,21.00
Bates Academy,2013-14,38,0.97,1,0.03,0,0.00,0,0.00,1.00,39.00
Beard Early Childhood,2013-14,5,1.00,0,0.00,0,0.00,0,0.00,1.00,5.00
Benjamin Carson School for Science and Medicine,2013-14,10,0.53,8,0.42,1,0.05,0,0.00,0.95,19.00
Bennett Elementary School,2013-14,23,0.88,3,0.12,0,0.00,0,0.00,1.00,26.00
Blackwell Institute,2013-14,16,0.57,10,0.36,2,0.07,0,0.00,0.93,28.00
Bow Elementary-Middle School,2013-14,19,0.56,14,0.41,1,0.03,0,0.00,0.97,34.00
Breithaupt Career and Technical Center,2013-14,16,0.84,3,0.16,0,0.00,0,0.00,1.00,19.00
Brewer Elementary-Middle School,2013-14,25,0.81,4,0.13,2,0.06,0,0.00,0.94,31.00
"Brown, Ronald Academy",2013-14,36,0.80,8,0.18,1,0.02,0,0.00,0.98,45.00
Bunche Elementary-Middle School,2013-14,37,0.90,2,0.05,1,0.03,1,0.02,0.95,41.00
Burton International School,2013-14,3,0.08,33,0.92,0,0.00,0,0.00,1.00,36.00
Carleton Elementary School,2013-14,21,0.84,3,0.12,1,0.04,0,0.00,0.96,25.00
Carstens Elem-Middle School,2013-14,22,0.61,7,0.20,4,0.11,3,0.08,0.81,36.00
Carver Elementary-Middle School,2013-14,2,0.08,22,0.92,0,0.00,0,0.00,1.00,24.00
Cass Technical High School,2013-14,107,0.96,4,0.03,1,0.01,0,0.00,0.99,112.00
Charles R. Drew Transition Center,2013-14,47,0.84,8,0.14,0,0.00,1,0.02,0.98,56.00
Chrysler Elementary School,2013-14,8,1.00,0,0.00,0,0.00,0,0.00,1.00,8.00
"Clark, J.E. Preparatory Academy",2013-14,21,0.53,16,0.40,2,0.05,1,0.03,0.93,40.00
"Clemente, Roberto Academy",2013-14,41,0.98,1,0.02,0,0.00,0,0.00,1.00,42.00
Clippert Academy,2013-14,21,0.95,1,0.05,0,0.00,0,0.00,1.00,22.00
